,Star ID,RA,DE,Magnitude
33003,33003,-0.80793181,0.88201591,5.8
33033,33033,-0.79893485,0.87732718,5.5
33047,33047,-0.79329816,1.03397785,5.8
33077,33077,-0.78203048,0.98561763,5.7
33184,33184,-0.74738293,0.9312802,5.7
33209,33209,-0.7394499,1.04336457,5.6
33280,33280,-0.7179102,0.93875642,6.0
33317,33317,-0.70739423,1.01947217,5.8
33433,33433,-0.67588602,0.91945317,6.0
33539,33539,-0.64257728,0.89840818,6.0
33625,33625,-0.62218151,0.99941703,6.0
33664,33664,-0.609487,0.88943482,4.8
33692,33692,-0.60224759,1.02189343,4.0
33818,33818,-0.56582962,0.96972675,5.5
33863,33863,-0.5532634,0.9839106,6.0
33984,33984,-0.52357267,0.91875189,5.7
33989,33989,-0.52188821,1.00807857,5.5
34136,34136,-0.48382447,1.01149345,3.6
34142,34142,-0.48338035,0.88271394,5.4
34148,34148,-0.48079777,1.03266604,5.2
34150,34150,-0.47996009,0.98768435,5.4
34226,34226,-0.46606116,0.9912374,4.2
34255,34255,-0.45975666,0.99431878,6.0
34394,34394,-0.42940066,0.90718816,4.6
34507,34507,-0.40444158,1.01506294,4.0
34541,34541,-0.39607643,0.87310076,3.9
34573,34573,-0.38514485,0.98377025,5.8
34627,34627,-0.36951434,0.89511998,4.8
34650,34650,-0.3636448,0.98673183,5.5
34857,34857,-0.31546658,0.97105456,5.6
35038,35038,-0.27065714,0.98920007,5.5
35146,35146,-0.24220159,1.03235067,4.9
35185,35185,-0.22869384,1.03081652,5.6
35235,35235,-0.2143937,0.99295345,5.6
35284,35284,-0.19889052,0.92404028,5.6
35360,35360,-0.17321861,1.04473804,5.9
35477,35477,-0.14087904,1.01705814,4.9
35641,35641,-0.10163517,0.87606249,5.3
35760,35760,-0.06729938,0.99786878,5.8
35762,35762,-0.06718833,1.01880774,5.1
35878,35878,-0.03545766,0.99869931,4.8
35898,35898,-0.0303533,0.99717452,6.0
35916,35916,-0.02352012,0.96739417,5.7
35937,35937,-0.01805796,0.89203962,4.8
35946,35946,-0.01544055,0.96825044,4.9
36036,36036,0.00887667,0.72979639,6.0
36122,36122,0.03365169,0.7992587,5.1
36172,36172,0.04760037,0.71138733,5.7
36220,36220,0.0598845,0.7560331,6.0
36235,36235,0.06328411,0.83199928,5.8
36255,36255,0.07006326,0.75945588,6.0
36389,36389,0.11140495,0.77000824,5.2
36508,36508,0.14856083,0.7716648,5.4
36549,36549,0.15878025,0.85660784,5.7
36601,36601,0.17754523,0.81596712,5.0
36616,36616,0.18173256,0.83061087,5.5
36619,36619,0.18294353,0.83795197,4.7
36639,36639,0.18937652,0.77821633,6.0
36698,36698,0.205282,0.71221665,4.4
36832,36832,0.24966129,0.77570024,6.0
36873,36873,0.26216932,0.71692681,5.9
36949,36949,0.28419865,0.76229616,5.2
36971,36971,0.29054831,0.81988199,4.3
36983,36983,0.29436352,0.72983052,5.7
37154,37154,0.34638263,0.79006629,5.0
37227,37227,0.36936658,0.78800428,5.0
37274,37274,0.38000945,0.81594225,5.3
37361,37361,0.40950821,0.71831028,4.2
37374,37374,0.41412562,0.84431592,3.8
37405,37405,0.42036132,0.77025957,5.2
37417,37417,0.42594005,0.70379757,4.9
37418,37418,0.42609255,0.75128667,5.5
37433,37433,0.43079199,0.73938236,5.1
37535,37535,0.46313898,0.83163053,6.0
37586,37586,0.48118867,0.70657842,5.6
37664,37664,0.50338911,0.85452828,5.8
37733,37733,0.52717503,0.73462368,2.3
37734,37734,0.52723248,0.73464472,5.1
